Question;Expected answer
What is the source for the HERO skus defined in BLOOM? Where does it come from precisely?;Heor skus are determined at Global level  and than validated by business users and they come from an inferface with SAP
Can I use my variant with any report or screen?;some reports have pre defined filters. Before selecting your variant confirm that it will not conflict with desired report s filters!
What are the parameters of CSO conversion process ?;They are: closing stock quantity and delivery lead time (DLT)
In which report I can find and extract the complete historical sell?;On the report DV1_1157 you can find and extract the complete historical sell in opened by signatures
What should I do to correct C7&C9 SKUs WITH FORECAST?;This alert shows? Validate if the status is correct Identify where the forecast is coming from (Launch  Promo  Adj BL  Forced Fcst at SKU  etc ) Remove the forecast (especially if C9) Check the substitution
What is the Golden rule for SUB creation?;Golden rule for SUB creation A  B & C can be substituted as long as they have the same EAN  same product hierarchy & the same material group
Where I can delete Substitution link in BLOOM?;You can delete substitution link in TOOLKIT Panel ---> Delete Substitution Link (BL1_2300)
What should the targets for my warning and tracking signal on the DP card?;The warning signal target is between the range -1.5 and 1.5
Where can I Set end of forecast date?;In the DP card you can calibrate or improve your modeling on BFL level and perform directly the following actions : Set end of forecast date
What is the best level of aggregation?;The best level of aggregation is the one that will give the best forecast accuracy
I have a BFL with many skus  I need to end the forecast for 1 sku  as it is end of life. What steps do I follow in bloom on which screens for local and not hub ?;you should inactivate the spectrum for the discontinued SKU and if you have remaining quantities for a phase out  you can control the remaining quantities manually for the specific items. Also  if the discontinued item is representative for the BFL you should add one proportional factor  reflecting on the BFL size this discontinuation
What is BFL?;BFL stands for Business Family Level and it is level of aggregation in BLOOM
How do I know if my upload was successful?;You can check the uploads results with the rejection logs  available also on the import/export panel
When I am able to force splitting?;You are able to force the splitting in exceptional cases : New SKU in the BFL with not enough historical data? and End of life for a SKU within the BFL. For this case don t forget to take into account your projected stock?
where can i check the country status in Bloom?;about the country status  you can use report DV1_1092 or DV1_1092: Product Sales Validation
How is  HML and ABC segmentation calculated?;HML and ABC segmentation is calculated according to the sales historic volume (calculated based on 6 M volume Past + 6M volume future)
What is the my strategy to manage forecast according to the BFLs segmentations?;Your strategy to manage forecast according to the BFLs segmentation- You should connect the priorities with your current segmentation: HX  HY  MX and MY = high priority to manage the statistical models  LX  LY and HZ = medium priority and MZ and LZ = low priority
Which Model should I use if I have a BFL with more than 24 months history and is classified as H.;Demand sensing model is recommended to use
What time series are available on the cleansing screen?;Y-3  Y-2  Y-1 and currently Y sell in  total quantity and the adjustable time series (to perform cleansing): launch  promo and short/push. Also after doing the cleansing you have the cleansed baseline on the screen as well
Which transaction in SAP I can use to see all substitutions;You can use YLFM09 transaction to see all substitutions
Where I can change my BFL model?;You can change BFL model in DP card
How can I delete a file  that I  uploaded?;YOU CAN USE DELETE AFFAIRE FEATURE TO DELETE FILE YOU UPLOADED
What are the differences from top down and bottom up forecasting techniques?;Top-down forecasting begins by creating an aggregate forecast for a larger entity  such as a product group or total sales  which is then disaggregated to lower levels like individual SKUs.  Bottom-up forecasting starts by generating forecasts for individual  granular items (e.g.  specific SKUs)  and then aggregates these up to broader product categories or total sales
what are the parameters used to determine the hero and non-hero classification;It is strategic SKU for the  Brand image and Global  business. The status of a hero  SKU is determined at a global level
What are conversion screens?;Convertion screen converts Validated BL (Sell Out) to Sell In applying parameters like stock targets  delivery lead time  and stock in delivery.  Validated BL = Cleansed BL (model statistical forecast) + adjustments  or if there is "forced forecast" then Validated BL = Forced Fcst. Foreced Fcst on SKU level overrides everything
Which transcotable to use to merge / unmerge BFLs;YLFMD01 Transcotable is used to merge / unmerge BFLs
What are "others modelled"?;Others modelled are BFLs that are not HML  and zero forecast
I have a new SKU that will canibalize other SKUs in BFL  how should I deal with that;Go to modeling screen and adjust (force) spectrum (at month of pipe or agreed month by mkt team) based upon agreed % effect
What is the typical horizon for my launch products;Normally horizon is 3-6 months
At which level I can filter welcome page;An introductory page can be filtered by signature
You can not apply demand sensing when you move your product from launch to Baseline. Bloom protects you since BFL is less than 24m;You can not apply demand sensing when you move your product from launch to Baseline. Bloom protects you since BFL is less than 24m
What does the DP card alert show ?;Highlights which models might need to be treated in DP Card accordng to the model accuracy indicators belor the DP chart
what is the difference between splitting screen and modeling screen?;The key difference between modeling and splitting screen - the Modeling Screen focuses on the creation and calibration of the forecast at an aggregate level  while the Splitting Screen focuses on the disallocation and distribution of that forecast to detailed levels
Adj baseline in % will be applied only on active SKUs (C5 and C6 status) and will exclude launch or promo SKUs even if you choose to adjust on Brand or Signature level;Adj baseline in % will be applied only on active SKUs (C5 and C6 status) and will exclude launch or promo SKUs even if you choose to adjust on Brand or Signature level
How often widget alerts are updated;Alerts are updated daily
what should I correct in BLOOM for the alert C5&C6 WITH SPECTRUM INACTIVE "SKU MODEL TO SKU LOCAL  ZERO OR BLANK?;Adjusting your spectrums in the modeling screen (or  Splitting Screen SKU Model to SKU Local in the case for HUBs) you will activate the spectrum
Where I can directly adjust my manual PLV and FOC forecast;you can directly adjust the following forecast in the MASTER ANALYZERS:
When adding benchmark BFL to copy seasonality what is recommended?;When adding benchmark BFL to copy seasonality  it is recommended to use BFL that is 24 months of history and applied model should be Demand Sensing
What is the recommendation for target setting?;For target setting Our recommendation is to use 24 months  is that depending on the period you use and based on the seasonlity of your model when the target rolls if the new month that was outside of the target period initially comes into play  if it's a high seasonality month with a big peak it might impact the forecast of the other periods. FM will compensate on the other months to allocate the right forecast for that month in order to keep the same global quantity. But if you put 24 months  normally the seasonality of all months should be considered and therefore  when rolling the impact of this compensation should be minimal.
Which analyzer displays all type of products FG  POS1 (PLV1)  & POS2 (PLV2)?;BL1_2024 Master analyzer displays at sku local level: all type of products including FG POS1 (PLV1) & POS2 (PLV2)
How to correct my negative forecast if it is coming from promo;To correct your negative forecast if it is coming from promo you need to 1. Go to Promo panel 2. Download file PR1_2042 Promo.csv file 3. Replace qtys by 0 in file 4. Upload file in Import/Export Panel
How the historical sellin is displayed in BLOOM in screen on old substitutions?;historical sell-in of substituted is displayed on substitute but data are still maintained on the native code
How often Sellin M is updated for the report;the sell in is updated daily in the report Tk12152
Alert Proportional Factors for BFLs Forecast. As I understand system counts number of all prop factors since start history date. If there are more than 2 PF  is BFL considered as modelized? Or no (like with forced more than 3 months)?;Regarding the "1003 Alert Proportional Factors for BFLs Forecast " a BFL (Baseline Forecast Level) is considered modelized if it has more than two proportional factors in the future for BFLs with more than 12 months of history length. This alert specifically highlights BFL-model nodes that meet this condition.
When should I do consistency checks ?;After finishing your forecast adjustments you can check the master analyzer or the forecast advancement to check the forecast consistency - should be the sinal check before going to the validation meetings
Where I can check if I have unknown customer issue;In SAP interfaces rejection log you can find unknown customer issue
What does the C5-C6 SKUs WITHOUT BASELINE alert show ?;C5 or C6 items with no Baseline - most probably because they dont have the spectrum activated.
Which BFL categories is recommended not to review during validation meetings or review by exception;L BFLs
Where to remove forecast for the BFLs where I set end of forecast date  but still have forecast;You can remove forecast for the BFL where you set end of forecast date but still have forecast in master analyzer or modeling screen (7046) or splitting screens
How are the priorities concept filter calculated in BLOOM?;The "Priorities Concept" in BLOOM is designed to help users focus on areas that need the most attention  ensuring a "Work-by-exception" approach and increasing agility. It's calculated based on a combination of several factors: BFL HML segmentation  BFL XYZ segmentation  Forecast Accuracy (FCA) Key Performance Indicators (KPIs)  and Forecast BIAS Condition
Hero skus: can we assign local heros? Or are they only cascaded from Global?;Heor skus are determined at Global level  and than validated by business users and they come from an inferface with SAP
What can be edited on the modeling screen ?;inside the modeling screen you can adjust the forecast (ADJ baseline)  you can force your SKU spectrum (forced spectrum) and also you can force the forecast from your SKUs or BFL  according to your needs.
Where I can check Nb of active FG SKU different than C9;you can check Nb of active FG SKU different than C9 in the welcome page
For BFLs that are less than 24 months of history  what models do we use?;In BLOOM all BFLs that are less than 24 month will be categorized as Z and never XY.  If BFL is less than 12months  Use Continuation of and if between 12 and 24 months use Average trend
How is the CSO conversion calculated inside BLOOM?;The CSO (Conversion Sell Out) calculation in BLOOM is a multi-step process designed to convert a Sell-Out (SO) forecast into a Sell-In (SI) forecast at the local level. It considers the closing stock and delivery lead time as parameters to calculate the sell in based on the sell out information recieved by BLOOM. The parameters can be changed manually or uploaded in BLOOM
How the cleansing proposals are calculated by bloom?;Cleansing Proposal M-1 calculation is done: Based on Historical Cleansed BL taken into account Monthly Seasonalit.
Can we use mass upload to Adj BL %?;You can't use mass upload to Adj BL %  only via analyzer
Where can I find substitutions in BLOOM?;On the DV1_1128 report you can find all the details related to substitutions in BLOOM. The report can be extracted to an excel and allow any kind of analysis
Is there dynamic option if I set proportional factor for the future;If you set up Proportional factor for the future  there is no dynamic option
Where I can check my active SKU by DC?;To check the Active SKU by DC in FM  you can use the DV1_1311 report on Data validation panel
Which analyzer do I have to open for Splitting purposes?;Depending on your country configuration 1. If you are mono country - you can manage your splitting in the Modeling Screen from BFL model to SKU local 2. If you are hub - you can manage your splitting (1) in modeling screen from BFL model to SKU model and (2) in the splitting screen from SKU model to SKU local
is there ANY PROPORTIONAL FACTOR IN Bloom;Yes  you are able to set up proportional factor in DP card
What are the advantages of top down forecasting approach;HIGHER HISTORICAL DATA and HIGHER  FORECAST ACCURACY
How trend breaks can be identified?;Trend breaks can be identified by selecting the "trend" view on the DP card (at least 3m gap in the last 6 m between cleansed history and model) or by automatic detection on the left side of the DP card.
Where to Activate and disactivate spectrums in BFL ?;On the modeling screen you can activate and disactivate spectrums in BFL
Is there a way to check my total cleansed scenario in BLOOM?;Yes  on the report DV1_2307 you can find the final cleansing scenario with the promos  launches and short/pushes detail
How I can understand which products can be merged;You can understand which products can be merged by identifying which OG codes that have the same seasonality so that we could modelize them together AND You can understand which products should be unmerged by identifying the OG codes that have been merged together in the past but should now be unmerged
Which alert shows me SKUs with Launch Qty After Launch Period?;in the cleansing alerts you can find that alert
What exactly shows alert REDUCED MODELING HISTORY FOR BFLs and how to correct it;You can check BFLs with a  start of date  after your actual historical data and see the number of periods  missing  for modelling If applicable you can correct it in DP card
What fields can be edited on the master analyzer screen ?;On the master anayzer you can adjust your forecast (ADJ BL qty)  you can force the forecast for one SKU (forced fcst SKU) and also edit the forecast for your launches  manual PLVs and FOCs
if I can't find a BFL in the DP Card or in the Modelling screen - even if the SKU I want is saying it's indeed in that BFL on the Masterdata Tab - why can this be;It is not modelized BFL  so will not appear in modeling or DP card. You can find this BFL in master analyzer
What happens with me sell in converted from sell out if i have DLT = 0;In tha case the DLT is set to zero  the Sell-In for a specific month will aim to cover the Sell-Out and desired stock levels for that same month  with no forward shifting of the Sell-In forecast
What is the difference between one alert  one widget and one panel in BLOOM?;In a general way  Panel is a broader category  a Widget is a display component within that category (or on the dashboard)  and an Alert is a specific type of notification or warning that a widget can display
What events do I need to cleanse ?;Exceptional events that affected your sell in (and should not be considered in the future). Examples: promos  shortages  pushes  launches  etc
Can we upload volumes to one or more SKUs;Yes the functionality is available via the import export option  using the various upload files
I have one Sku in a BFL  stock is now 0 and is end of life. How do I manage this in bloom for local and not hub ?;You should add the end of forecast date on the DP card. In the case you have remaining quantities for be sell  you can manually adjust on the modelling screen
what are the best reports to check my forecast accuracy in BLOOM?;These reports help you understand not only the accuracy itself but also the underlying reasons for deviations: Forecast accuracy consolidation Bom Header (KP1_2131) and Forecast accuracy local (KP1_2129) and KPI Bias (KP1_1068) and Bias Component (KP1_1069)
For which products spectrum is forced to 0;SPECTRUM IS FORCED TO 0 (zero) for C3 C4  C7 and C9 SKUs
Splitting rules in BLOOM to split from SKU model to SKU local?;The splitting rules in BLOOM to split from SKU model to SKU local: 1. If cleansed baseline more than 12 months: BLOOM uses all periods available (considers seasonality) up to 32 months of history. 2. If cleansed baseline less or equal to 12 months: based on weighted average of periods available
What is the difference between BL1_2024 and BL1_2025 report ?;the 2024 report countains the BOM header information level. The 2025 countains the component level information
In which screen I can adjust qty and splitting from SKU model to SKU local in HUB;You can adjust qty and splitting from SKU model to SKU local in Splitting Screen BL1_7017
What is the purpose of cleansing proposal;The purpose pf cleansing proposal is to propose an automatic baseline Cleansing to optimize Cleansing task
Is there an alert where we can see all the adjustments and comments?;For comments no  but all the adjustmented or forced qty at SKU you can see in the alert in Si/SCO panel in the modeling part Alert Adjusted/Forced Qtys for SKUs
Which SKUs will appear in the alert EVOLUTION Y+1 vs Y (%) FOR SKUs;All SKU-Local nodes meeting these criteria: Country Status =  C5  Or  C6  & FM Material Type =  FG ; Total Qty Y > 0; Evolution Y+1 vs Y (%)  > 30% Or  Evolution Y+1 vs Y (%)  < -30% Evolution Y+1 vs Y (%) = (Total Qty Y+1 / Total Qty Y)
Do we cleanse at sku level or BFL Level;At Sku local level
Can we pre-filter on the Cleaning proposal?;Cleansing proposal is extracted directly to excel  you can t pre-filter or create a variant
Where I check consistency of my product statuses;Check the Transco table (YLFMD04/07)
What does the alert for proportional factors show?;there are four types of alerts for proportional factor 1. ALERT PROPORTIONAL FACTORS FOR BFLs ACTUALS - If any proportional factor in the past for BFLs with <= 6 months of history length OR If more than one proportional factor in the past for BFLs with <= 12 months of history length OR If more than three proportional factors in the past for BFLs with > 12 months of history length 2. ALERT PROPORTIONAL FACTORS FOR BFLs ACTUALS LAST 3 MONTHS - List of BFL-model with more than one proportional factor in the past 3 months for BFLs with > 12 months of history length 3. ALERT PROPORTIONAL FACTORS FOR BFLs FORECAST - List of BFL-model nodes with more than two proportional factors in the future for BFLs with > 12 months of history length 4. OTHER PROPORTIONAL FACTOR ALERTS - List of BFL-model nodes with at least one month in the past or in the future with "Proportional Factor in Value" = -100% (-99 99%)
If I use a lot of  %Adj baseline where I can see it?;If you use a lot of  %Adj baseline (at least one %Adj baseline & more than 2 months) you can see that in the Alert Adjusted/Forced Qtys for SKUs in the Sellin panel in the modeling section
At what levels can I make baseline adjustments in %?;BL1_2029 allows you to make baseline adjustments in % at any level  but it is not recommended to use BFL or SKU level
where can i find the forecast triangle report in BLOOM?;You can find the "Forecast Triangle Report" within BLOOM by navigating to the KPI Panel
How modelization works in BLOOM;Modelization is done at BFL level  Then splitted at sku level based on the weight of the cleansed baseline of each of the SKU.
How can I create a Variant in BLOOM;Open the report & custom perimeter & then save
Are my C9 products sent to copa or compass;Your C9 products are NOT sent to both COPA and COMPASS
I have a new SKU with a new BFL moving from launch to baseline   I also have a benchmark available. How do I manage this in Bloom?;You should copy the seasonality from a benchmark and possibly add one target for the next 24 periods
What is forecast history settings?;Inside the DP card you can find the "History and forecast settings" button: here you can adjust your start of history and end of forecast dates
